iteration,temperature,accepted,new_best_utility,regions,effective_regions,dfs,best_accepted_dfs,penalty,current_utility,best_utility,candidate_utility,move_type,merge_parent_id,split_node_id
15,0.010928348848928307,True,False,28,28,0.468027677156522,0.4791816735822501,0.0,0.468027677156522,0.4791816735822501,0.468027677156522,split,,1777
16,0.010928348848928307,True,False,29,29,0.4680276774412627,0.4791816735822501,0.0,0.4680276774412627,0.4791816735822501,0.4680276774412627,split,,2679
18,0.010928348848928307,True,False,30,30,0.46868336621631074,0.4791816735822501,0.0,0.46868336621631074,0.4791816735822501,0.46868336621631074,split,,2812
19,0.010928348848928307,True,False,31,31,0.4701628671390762,0.4791816735822501,0.0,0.4701628671390762,0.4791816735822501,0.4701628671390762,split,,2844
20,0.010928348848928307,True,False,32,32,0.47017732235701043,0.4791816735822501,0.0,0.47017732235701043,0.4791816735822501,0.47017732235701043,split,,2209
21,0.010928348848928307,True,False,31,31,0.4701773211487026,0.4791816735822501,0.0,0.4701773211487026,0.4791816735822501,0.4701773211487026,merge,2837,
24,0.010928348848928307,True,False,31,31,0.4692869982414054,0.4791816735822501,0.0,0.4692869982414054,0.4791816735822501,0.4692869982414054,paired,2831,2876
25,0.010928348848928307,True,False,32,32,0.4693199614735931,0.4791816735822501,0.0,0.4693199614735931,0.4791816735822501,0.4693199614735931,split,,2443
27,0.010928348848928307,True,False,31,31,0.4679361326593591,0.4791816735822501,0.0,0.4679361326593591,0.4791816735822501,0.4679361326593591,merge,2828,
28,0.010928348848928307,True,False,32,32,0.46793616566755764,0.4791816735822501,0.0,0.46793616566755764,0.4791816735822501,0.46793616566755764,split,,2210
29,0.010928348848928307,False,False,32,32,0.46793616566755764,0.4791816735822501,0.0,0.46793616566755764,0.4791816735822501,0.4379361669161195,split,,2893
31,0.010928348848928307,True,False,31,31,0.4656484387514231,0.4791816735822501,0.0,0.4656484387514231,0.4791816735822501,0.4656484387514231,merge,2827,
32,0.010928348848928307,True,False,31,31,0.46384438098468395,0.4791816735822501,0.0,0.46384438098468395,0.4791816735822501,0.46384438098468395,paired,2824,2893
33,0.010928348848928307,True,False,32,32,0.4638443821929918,0.4791816735822501,0.0,0.4638443821929918,0.4791816735822501,0.4638443821929918,split,,2837
34,0.010928348848928307,True,False,31,31,0.4627390003844158,0.4791816735822501,0.0,0.4627390003844158,0.4791816735822501,0.4627390003844158,merge,2823,
35,0.010928348848928307,True,False,30,30,0.4627060371522282,0.4791816735822501,0.0,0.4627060371522282,0.4791816735822501,0.4627060371522282,merge,2443,
36,0.010928348848928307,True,False,29,29,0.46260063766108517,0.4791816735822501,0.0,0.46260063766108517,0.4791816735822501,0.46260063766108517,merge,2876,
37,0.010928348848928307,True,False,30,30,0.4627023359286309,0.4791816735822501,0.0,0.4627023359286309,0.4791816735822501,0.4627023359286309,split,,1778
38,0.010928348848928307,True,False,31,31,0.46270233594118654,0.4791816735822501,0.0,0.46270233594118654,0.4791816735822501,0.46270233594118654,split,,2318
39,0.010928348848928307,True,False,30,30,0.4627023347328788,0.4791816735822501,0.0,0.4627023347328788,0.4791816735822501,0.4627023347328788,merge,2837,
40,0.010928348848928307,True,False,29,29,0.4627023344481381,0.4791816735822501,0.0,0.4627023344481381,0.4791816735822501,0.4627023344481381,merge,2679,
41,0.010928348848928307,True,False,29,29,0.46280629224493613,0.4791816735822501,0.0,0.46280629224493613,0.4791816735822501,0.46280629224493613,paired,2848,2876
42,0.010928348848928307,True,False,30,30,0.46280632462465726,0.4791816735822501,0.0,0.46280632462465726,0.4791816735822501,0.46280632462465726,split,,2211
44,0.010928348848928307,True,False,29,29,0.46280632461210164,0.4791816735822501,0.0,0.46280632461210164,0.4791816735822501,0.46280632461210164,merge,2318,
45,0.010928348848928307,True,False,28,28,0.4628050088391381,0.4791816735822501,0.0,0.4628050088391381,0.4791816735822501,0.4628050088391381,merge,2847,
46,0.010928348848928307,True,False,27,27,0.4628050075905762,0.4791816735822501,0.0,0.4628050075905762,0.4791816735822501,0.4628050075905762,merge,2893,
47,0.010928348848928307,True,False,27,27,0.46132682244077433,0.4791816735822501,0.0,0.46132682244077433,0.4791816735822501,0.46132682244077433,paired,2844,2847
48,0.010928348848928307,True,False,28,28,0.4613599020466239,0.4791816735822501,0.0,0.4613599020466239,0.4791816735822501,0.4613599020466239,split,,3132
49,0.010928348848928307,True,False,29,29,0.46136481425525305,0.4791816735822501,0.0,0.46136481425525305,0.4791816735822501,0.46136481425525305,split,,2882
