repeat,seed,chain,month,bcob_median_residual_ppt,mcoh_median_residual_ppt,joint_score_ppt
0,637100,1,2025-08,-2.935280563354496,1.5735370330810525,-2.935280563354496
0,637100,1,2025-09,-2.569775421142566,1.3104674606323243,-2.569775421142566
0,637100,1,2025-10,-2.452814956665037,0.05944908142089389,-2.452814956665037
0,637100,1,2025-11,-3.105304595947274,-0.668559188842778,-3.105304595947274
0,637100,1,2025-12,-2.646640380859381,-1.0699091796874995,-2.646640380859381
0,637100,1,2026-01,89.85541986083985,85.05954448699951,85.05954448699951
0,637100,1,2026-02,-4.5160895767211855,-2.003096321105957,-4.5160895767211855
0,637100,2,2023-02,-2.383448112487798,-1.3104062957763745,-2.383448112487798
0,637100,2,2023-03,-3.313873413085929,-1.434422142028808,-3.313873413085929
0,637100,2,2023-04,-3.2924780960082956,-0.6908127861022848,-3.2924780960082956
0,637100,2,2023-05,-2.9966317672729588,0.550544292449942,-2.9966317672729588
0,637100,2,2023-06,-3.147490875244131,0.843193176269537,-3.147490875244131
0,637100,2,2023-07,-1.1880618667602505,1.6055974464416494,-1.1880618667602505
0,637100,2,2023-08,-3.7341012954711914,0.861921165466299,-3.7341012954711914
0,637100,2,2023-09,-2.6158983306884807,4.898485038757315,-2.6158983306884807
0,637100,2,2023-10,-3.823147354125979,-0.34803598785400425,-3.823147354125979
