matrix,split_step,classes,geometry,target_regions,state_count,observation_count,leading_singular_value,frobenius_norm,stable_rank,effective_rank,rank_90_energy,rank_95_energy,rank_99_energy,condition_number_thresholded
basis-projected,axis-parallel,ocean-land,lat-lon-metres,50,50,168,1.5085225554623567e-07,1.9354336537006293e-07,1.6460876647858065,3.5117869355904876,3,5,10,4436521715.419657
basis-projected,axis-parallel,ocean-land,lat-lon-metres,100,100,168,1.0623110483861249e-07,1.4621771312391463e-07,1.8945085853638353,5.3450867961194986,6,9,16,4643400560.201881
basis-projected,axis-parallel,ocean-land,lat-lon-metres,250,250,168,6.679484787704772e-08,9.810775273846829e-08,2.1573505785212355,7.418450133344915,9,13,26,4903253.780733663
basis-projected,axis-parallel,ocean-land,lat-lon-metres,500,500,168,6.162153160669648e-08,8.376005819802958e-08,1.847604297740958,6.420552162016024,8,14,29,84504.01083259158
basis-projected,inertial,all-cells,row-column,50,50,168,9.877476360802079e-08,1.3895246188691104e-07,1.9789758462688523,5.674188625267428,6,10,18,4650761546.185376
basis-projected,inertial,all-cells,row-column,100,100,168,7.379666532398298e-08,1.0770840054395586e-07,2.130225985671807,7.013755881171907,8,13,25,5906147389.76963
basis-projected,inertial,all-cells,row-column,250,250,168,6.19139239051883e-08,8.464334902799392e-08,1.8689987839585793,6.56110832459784,8,14,30,217156.5725795386
basis-projected,inertial,all-cells,row-column,500,500,168,6.079363144459333e-08,8.010253296218314e-08,1.736106352164787,5.599769481492256,7,12,28,36566.12446832653
basis-projected,inertial,all-cells,lat-lon-metres,50,50,168,1.074690420956411e-07,1.467425057802997e-07,1.8644258076569749,5.250594736050548,6,9,17,3607601304.534379
basis-projected,inertial,all-cells,lat-lon-metres,100,100,168,7.301746106826777e-08,1.0743633395055514e-07,2.164955158174446,7.16618295362805,8,13,25,2292966520.230692
basis-projected,inertial,all-cells,lat-lon-metres,250,250,168,6.188569362022029e-08,8.426616714226635e-08,1.8540692666351193,6.447031572541969,8,14,29,214640.89400144288
basis-projected,inertial,all-cells,lat-lon-metres,500,500,168,6.077581832356026e-08,7.999851997100426e-08,1.7326158151972066,5.572170739405713,7,12,28,59253.63165134234
basis-projected,inertial,ocean-land,row-column,50,50,168,1.4848693138612305e-07,1.851345462287948e-07,1.5545277081473567,3.4341825955088496,4,5,10,4064522739.98722
basis-projected,inertial,ocean-land,row-column,100,100,168,1.0043374560846242e-07,1.383871294337931e-07,1.8985939046799378,5.334715100473781,6,8,16,5433229877.567883
basis-projected,inertial,ocean-land,row-column,250,250,168,6.668965103214503e-08,9.62750428897182e-08,2.0840616010449975,7.13822402433234,8,13,27,3383978.9746242175
basis-projected,inertial,ocean-land,row-column,500,500,168,6.180672203959133e-08,8.396132196845584e-08,1.8453855415286986,6.404935327336866,8,14,29,93517.00181740722
basis-projected,inertial,ocean-land,lat-lon-metres,50,50,168,1.2739370890271936e-07,1.7641059417116242e-07,1.917579428521445,4.483185702692936,4,6,12,3489508131.803825
basis-projected,inertial,ocean-land,lat-lon-metres,100,100,168,1.0720796831797664e-07,1.500560942190001e-07,1.9590843915030187,5.367584367510328,5,9,15,7847426607.405364
basis-projected,inertial,ocean-land,lat-lon-metres,250,250,168,6.733209905551777e-08,9.678597383760387e-08,2.0662389357935647,7.06355112530284,8,14,26,1466838.8462636971
basis-projected,inertial,ocean-land,lat-lon-metres,500,500,168,6.193593186640316e-08,8.426537058004341e-08,1.8510276991105203,6.426446470157125,8,14,29,224590.89546150158
