matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,47,8.345458791719079e-10,0.013794902480990169,0.00011220752954514953,0.9983878968291484
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,48,7.67686941641141e-10,0.012689735531828882,9.49488859121801e-05,0.9984828457150606
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,49,7.363774674333347e-10,0.012172195209352739,8.736199611758983e-05,0.9985702077111782
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,50,7.054366083716778e-10,0.011660748033006792,8.01747387746124e-05,0.9986503824499529
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,51,6.984243737504553e-10,0.01154483697863843,7.858874269651261e-05,0.9987289711926494
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,52,6.73742773365285e-10,0.011136854291424109,7.31323967213564e-05,0.9988021035893707
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,53,6.658685907159331e-10,0.01100669538167897,7.143295657242055e-05,0.9988735365459431
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,54,6.162909112678729e-10,0.01018718471091943,6.119178087307083e-05,0.9989347283268163
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,55,5.998393155923577e-10,0.009915242612031342,5.796841445418663e-05,0.9989926967412703
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,56,5.758974729702814e-10,0.009519487995742927,5.34332896223921e-05,0.9990461300308927
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,57,5.687912369294894e-10,0.009402023113779943,5.21227547100155e-05,0.9990982527856027
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,58,5.336931022975199e-10,0.008821856874156167,4.5888593461838433e-05,0.9991441413790645
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,59,5.153938589661151e-10,0.008519373471466403,4.279569125702711e-05,0.9991869370703215
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,60,4.923159467621568e-10,0.008137899479126577,3.9048951160528984e-05,0.999225986021482
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,61,4.826877233469494e-10,0.007978746571667774,3.753652571208833e-05,0.9992635225471941
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,62,4.722653969922481e-10,0.0078064672766926186,3.593302821303789e-05,0.9992994555754072
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,63,4.4661134673732575e-10,0.00738241015731623,3.213520479833008e-05,0.9993315907802055
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,64,4.344631834577376e-10,0.007181603069356787,3.0410777718968607e-05,0.9993620015579244
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,65,4.2710125061798347e-10,0.007059911562477885,2.938889470422168e-05,0.9993913904526287
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,66,4.0878043034790365e-10,0.0067570714966347966,2.6921655324003452e-05,0.9994183121079526
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,67,3.879898446370155e-10,0.006413406625041451,2.4252822228213654e-05,0.9994425649301809
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,68,3.8278791727303984e-10,0.006327419643989619,2.3606848245777533e-05,0.9994661717784267
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,69,3.8067639609794117e-10,0.006292516555466871,2.3347128033403776e-05,0.9994895189064601
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,70,3.7237286098798395e-10,0.0061552605220382495,2.233971404394287e-05,0.9995118586205041
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,71,3.6449052574239746e-10,0.0060249668512538075,2.1403956264123328e-05,0.9995332625767682
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,72,3.572627679142888e-10,0.005905493234663779,2.056350229250548e-05,0.9995538260790608
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,73,3.5320718489024237e-10,0.005838455132006328,2.0099285786336106e-05,0.9995739253648471
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,74,3.4709681044898426e-10,0.005737451674145951,1.9409878299957384e-05,0.9995933352431471
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,75,3.254524732125025e-10,0.005379674433978877,1.7064623826226934e-05,0.9996103998669732
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,76,3.160499452356179e-10,0.005224252234009945,1.609285156323222e-05,0.9996264927185365
