split_step,classes,geometry,target_regions,actual_regions,min_equal_weight_ratio,p10_equal_weight_ratio,median_equal_weight_ratio,p90_equal_weight_ratio,max_equal_weight_ratio,weight_cv,weight_gini,area_cv,density_cv,zero_weight_regions
axis-parallel,ocean-land,row-column,100,100,4.3411404694000416e-07,0.0008424339750989796,0.1017158000573716,3.890120609545962,5.331397868359905,1.5596691798283993,0.7320594692215054,3.6511196904777496,2.6108792787712036,0
axis-parallel,ocean-land,row-column,250,250,2.62826065274784e-07,0.000564177692861947,0.08012209625346775,3.3042218363733133,10.954500697310415,1.587573513687219,0.7249953497432953,3.550255864879988,2.691424185474256,0
axis-parallel,ocean-land,row-column,500,500,1.0184599914790579e-07,0.00028451450622560894,0.05723999668747777,2.3846097469390313,21.90900139462083,2.0229572178039303,0.7508284991501661,4.135426474514383,3.0510681528806836,0
inertial,all-cells,lat-lon-metres,50,50,1.6056570290813742e-05,0.0005580198066616623,0.7277859440614398,2.536159277797665,2.666862617026102,0.9642611128324272,0.5369958595958964,2.4488977495299764,1.9076227565293657,0
inertial,all-cells,lat-lon-metres,100,100,1.0555981259843577e-05,0.004057475253461979,0.9118851985974423,2.055134871634108,4.381800278924166,0.8454718559852334,0.46697907982831244,3.302546256391959,1.9798133148085577,0
inertial,all-cells,lat-lon-metres,250,250,1.1790366201520923e-06,0.01910468221942251,0.8211918922220585,1.761750907773037,10.954500697310415,1.2366585108367723,0.5040631333549364,4.443241333327339,2.118442333114099,0
inertial,all-cells,lat-lon-metres,500,500,1.217067749675827e-07,0.010742155595219446,0.587173281469123,1.7263845172649037,21.90900139462083,1.8980777374430884,0.603182094829724,6.278434908546907,2.591868430030219,0
inertial,all-cells,row-column,50,50,6.930458434554926e-06,0.014630332180187614,0.9416272111571331,2.1693282606906874,2.5319759533081956,0.8104453437902958,0.4625726229697915,2.4017173102061813,1.625649701991263,0
inertial,all-cells,row-column,100,100,1.3860916869109852e-05,0.0023015591719381277,0.8180107437971034,2.1619400195699425,4.381800278924166,0.889322926981062,0.4914773589358845,3.2624690660602678,1.925521661708149,0
inertial,all-cells,row-column,250,250,7.811439896029346e-06,0.011394933267871358,0.8074662039075597,1.761750907773037,10.954500697310415,1.240187301680815,0.5097192573878138,4.205741238376209,2.1525249699032085,0
inertial,all-cells,row-column,500,500,1.588076304571519e-10,0.006933550228874123,0.6031897214557278,1.7263845172649037,21.90900139462083,1.900436160272088,0.6104299813337852,5.780379853006589,2.6023292912242284,0
inertial,ocean-land,lat-lon-metres,50,50,1.2506562631446744e-05,0.0001494905479947516,0.05608439114573284,3.088051818883255,4.380560779267517,1.3775445862914546,0.6898392603470023,2.904754585157547,3.052640542851996,0
inertial,ocean-land,lat-lon-metres,100,100,1.4500657573666055e-07,4.38258441252515e-05,0.06307570478237931,4.14129236705126,5.71077771084389,1.6944582160044452,0.7629268592024601,3.9447361422337526,2.873765472494953,0
inertial,ocean-land,lat-lon-metres,250,250,1.4499847873003795e-09,0.00037767578073971784,0.08579860466475293,3.341878276082632,10.954500697310415,1.5664948567744306,0.7182776311624322,4.139640105265581,2.5959783939462806,0
inertial,ocean-land,lat-lon-metres,500,500,2.899969574600759e-09,0.00020795607136682036,0.06442384167774137,2.4748919252761135,21.90900139462083,2.01499419409873,0.7499772067343866,4.319626127273599,2.996583051625398,0
inertial,ocean-land,row-column,50,50,0.00013422686639854987,0.002150709398867976,0.11674306203271055,3.235193635425801,6.005869443628847,1.6756101776075416,0.750179353512612,2.8913287132083543,2.991680991136321,0
inertial,ocean-land,row-column,100,100,5.39163900040548e-07,0.0002772148003703144,0.09983831756291275,3.5059613680848467,5.28699101993605,1.5542650977608026,0.7327623001361452,3.826177131291121,2.7235716480149543,0
inertial,ocean-land,row-column,250,250,1.34790975010137e-06,0.0006641971957537764,0.08913180527890523,3.075400202790425,10.954500697310415,1.537280624027986,0.7083060628499358,4.0753826295365005,2.5377869911236877,0
inertial,ocean-land,row-column,500,500,5.140619331118817e-08,0.00018294527589595021,0.05812593975356817,2.404967622797307,21.90900139462083,2.00508481800292,0.7437375491517377,3.9787378319289006,2.971422808060626,0
